Year,Category,Amount,Type
2011,Grants,18414579,Revenue
2001,Grants,49068957,Revenue
2014,Social Welfare,21656009,Expense
2022,Infrastructure,9126787,Expense
2006,Social Welfare,42723676,Expense
2019,Defense,30010191,Expense
2000,Defense,17610498,Expense
2005,Defense,28905167,Expense
2013,Defense,22221088,Expense
2010,Defense,7004609,Expense
2022,Infrastructure,7081424,Expense
2011,Infrastructure,21397961,Expense
2004,Social Welfare,3958811,Expense
2021,Healthcare,28488931,Expense
2007,Grants,36835496,Revenue
2018,Defense,29573952,Expense
2010,Healthcare,14063166,Expense
2020,Education,49283809,Expense
2012,Infrastructure,34732723,Expense
2007,Foreign Aid,5279617,Revenue
2010,Defense,31203493,Expense
2006,Social Welfare,23215477,Expense
2015,Infrastructure,38886329,Expense
2003,Grants,49832274,Revenue
2000,Natural Resources,46902740,Revenue
2003,Defense,17481336,Expense
2016,Healthcare,2218551,Expense
2010,Defense,11357444,Expense
2012,Natural Resources,28905856,Revenue
2020,Natural Resources,40147076,Revenue
2006,Foreign Aid,45156763,Revenue
2000,Natural Resources,13167630,Revenue
2001,Social Welfare,31680027,Expense
2018,Natural Resources,18418462,Revenue
2007,Foreign Aid,2434520,Revenue
2001,Tax Revenue,35757809,Revenue
2007,Social Welfare,36509403,Expense
2019,Natural Resources,17815801,Revenue
2010,Natural Resources,8442453,Revenue
2000,Infrastructure,48858837,Expense
2001,Education,28663744,Expense
2023,Grants,18643593,Revenue
2019,Infrastructure,48761192,Expense
2023,Social Welfare,16407746,Expense
2015,Education,13021658,Expense
2009,Natural Resources,2210043,Revenue
2022,Infrastructure,1364315,Expense
2008,Tax Revenue,5004306,Revenue
2022,Defense,43300254,Expense
2001,Natural Resources,49969482,Revenue
2011,Natural Resources,27783378,Revenue
2011,Healthcare,32791637,Expense
2017,Tax Revenue,42559682,Revenue
2003,Defense,38388665,Expense
2013,Natural Resources,14466637,Revenue
2016,Foreign Aid,19688730,Revenue
2001,Defense,5042811,Expense
2012,Foreign Aid,33335092,Revenue
2000,Education,39773445,Expense
2002,Social Welfare,3547885,Expense
2011,Healthcare,19605500,Expense
